Tick: 269, energy: -14.5757, penergy: -15.9434, kenergy: 1.36769
Tick: 270, energy: -14.5757, penergy: -15.9443, kenergy: 1.36853
Tick: 271, energy: -14.5757, penergy: -15.9451, kenergy: 1.36939
Tick: 272, energy: -14.5757, penergy: -15.946, kenergy: 1.37024
Tick: 273, energy: -14.5757, penergy: -15.9468, kenergy: 1.3711
Tick: 274, energy: -14.5757, penergy: -15.9477, kenergy: 1.37196
Tick: 275, energy: -14.5757, penergy: -15.9486, kenergy: 1.37282
Tick: 276, energy: -14.5757, penergy: -15.9494, kenergy: 1.37369
Tick: 277, energy: -14.5757, penergy: -15.9503, kenergy: 1.37456
Tick: 278, energy: -14.5757, penergy: -15.9512, kenergy: 1.37544
Tick: 279, energy: -14.5757, penergy: -15.9521, kenergy: 1.37632
Tick: 280, energy: -14.5757, penergy: -15.9529, kenergy: 1.3772
Tick: 281, energy: -14.5757, penergy: -15.9538, kenergy: 1.37808
Tick: 282, energy: -14.5757, penergy: -15.9547, kenergy: 1.37897
Tick: 283, energy: -14.5757, penergy: -15.9556, kenergy: 1.37986
Tick: 284, energy: -14.5757, penergy: -15.9565, kenergy: 1.38076
Tick: 285, energy: -14.5757, penergy: -15.9574, kenergy: 1.38166
Tick: 286, energy: -14.5757, penergy: -15.9583, kenergy: 1.38256
Tick: 287, energy: -14.5758, penergy: -15.9592, kenergy: 1.38347
Tick: 288, energy: -14.5758, penergy: -15.9601, kenergy: 1.38438
Tick: 289, energy: -14.5758, penergy: -15.961, kenergy: 1.3853
Tick: 290, energy: -14.5758, penergy: -15.962, kenergy: 1.38621
Tick: 291, energy: -14.5758, penergy: -15.9629, kenergy: 1.38713
Tick: 292, energy: -14.5758, penergy: -15.9638, kenergy: 1.38806
Tick: 293, energy: -14.5758, penergy: -15.9647, kenergy: 1.38899
Tick: 294, energy: -14.5758, penergy: -15.9657, kenergy: 1.38992
Tick: 295, energy: -14.5758, penergy: -15.9666, kenergy: 1.39086
Tick: 296, energy: -14.5758, penergy: -15.9676, kenergy: 1.39179
Tick: 297, energy: -14.5758, penergy: -15.9685, kenergy: 1.39274
Tick: 298, energy: -14.5758, penergy: -15.9695, kenergy: 1.39368
Tick: 299, energy: -14.5758, penergy: -15.9704, kenergy: 1.39463
Tick: 300, energy: -14.5758, penergy: -15.9714, kenergy: 1.39559
Tick: 301, energy: -14.5758, penergy: -15.9723, kenergy: 1.39655
Tick: 302, energy: -14.5758, penergy: -15.9733, kenergy: 1.39751
Tick: 303, energy: -14.5758, penergy: -15.9743, kenergy: 1.39847
Tick: 304, energy: -14.5758, penergy: -15.9752, kenergy: 1.39944
Tick: 305, energy: -14.5758, penergy: -15.9762, kenergy: 1.40041
Tick: 306, energy: -14.5758, penergy: -15.9772, kenergy: 1.40139
Tick: 307, energy: -14.5758, penergy: -15.9782, kenergy: 1.40237
Tick: 308, energy: -14.5758, penergy: -15.9791, kenergy: 1.40335
Tick: 309, energy: -14.5758, penergy: -15.9801, kenergy: 1.40434
Tick: 310, energy: -14.5758, penergy: -15.9811, kenergy: 1.40533
Tick: 311, energy: -14.5758, penergy: -15.9821, kenergy: 1.40633
Tick: 312, energy: -14.5758, penergy: -15.9831, kenergy: 1.40733
Tick: 313, energy: -14.5758, penergy: -15.9841, kenergy: 1.40833
Tick: 314, energy: -14.5758, penergy: -15.9851, kenergy: 1.40933
Tick: 315, energy: -14.5758, penergy: -15.9861, kenergy: 1.41034
Tick: 316, energy: -14.5758, penergy: -15.9872, kenergy: 1.41136
Tick: 317, energy: -14.5758, penergy: -15.9882, kenergy: 1.41238
